StudentID,grad_year,sex,first_gen,admit_type,terms_enrl_ct,studied_away,major_ct,major1,major2,major3,major1_division,major2_division,major3_division,maj_Art,maj_Music,maj_TheaterDance,maj_AsianLanguagesCultures,maj_Classics,maj_English,maj_French,maj_German,maj_Russian,maj_History,maj_Linguistics,maj_Philosophy,maj_ReligiousStudies,maj_SpanishPortuguese,maj_AmericanStudies,maj_EducationalStudies,maj_EnvironmentalStudies,maj_InternationalStudies,maj_LatinAmericanStudies,maj_MediaCulturalStudies,maj_WomenGenderSexualityStudies,maj_Biology,maj_Chemistry,maj_Geology,maj_Mathematics,maj_NeuroscienceStudies,maj_Physics,maj_ComputerScience,maj_Anthropology,maj_Economics,maj_Geography,maj_PoliticalScience,maj_Psychology,maj_Sociology,concentration_ct,Conc1Desc,Conc2Desc,prefix_count,tot_enroll_ct,FineArts_count,Humanities_count,Interdisciplinary_count,NatScienceandMath_count,SocialSciences_count,NonDivisional_count,FineArts_3orfewer,Humanities_3orfewer,Interdisciplinary_3orfewer,NatScienceandMath_3orfewer,SocialSciences_3orfewer
21,2014-15,F, ,TRN, ,0,1,English, , ,Humanities, , ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Human Rights & Humanitarianism, ,6,25,0,17,2,0,6,0,1,0,1,1,0
22,2014-15,M, ,FYR,12,0,1,Geology, , ,Natural Sciences and Mathematics, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0, , ,11,38,11,5,2,18,2,0,0,0,1,0,1
23,2015-16,M, ,FYR,14,0,1,Computer Science, , ,Natural Sciences and Mathematics, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0, , ,9,39,1,11,0,25,2,0,1,0,1,0,1
24,2013-14,F, ,FYR,10,0,1,Biology, , ,Natural Sciences and Mathematics, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, , ,12,29,2,2,0,19,6,0,1,1,1,0,0
25,2013-14,F, ,FYR,10,1,1,International Studies, , ,Interdisciplinary, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , ,19,41,5,17,6,3,9,1,0,0,0,1,0
26,2013-14,F, ,FYR,8,1,1,Political Science, , ,Social Sciences, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0, , ,14,33,1,4,2,4,19,3,1,0,1,0,0
27,2014-15,F, ,FYR,10,0,2,Biology,American Studies, ,Natural Sciences and Mathematics,Interdisciplinary, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, , ,13,49,15,7,8,14,4,1,0,0,0,0,0
28,2013-14,F, ,FYR,8,1,1,Biology, , ,Natural Sciences and Mathematics, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Community & Global Health, ,14,35,1,2,2,20,5,5,1,1,1,0,0
29,2013-14,F, ,FYR,8,1,2,Spanish/Portuguese (prior Hispanic Studies),International Studies, ,Humanities,Interdisciplinary, ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , ,12,33,4,13,6,2,6,2,0,0,0,1,0
30,2013-14,M, ,FYR,10,1,1,Psychology, , ,Social Sciences, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0, , ,14,31,1,7,4,3,16,0,1,0,0,1,0
31,2013-14,M, ,FYR,10,1,1,Political Science, , ,Social Sciences, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0, , ,14,36,1,8,1,1,22,3,1,0,1,1,0
32,2013-14,F, ,FYR,10,0,1,Geology, , ,Natural Sciences and Mathematics, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0, , ,13,40,4,2,3,24,6,1,0,1,1,0,0
33,2013-14,F, ,FYR,10,1,1,Sociology, , ,Social Sciences, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0, , ,13,35,1,6,3,1,17,7,1,0,1,1,0
34,2013-14,F, ,FYR,10,0,1,Chemistry, , ,Natural Sciences and Mathematics, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0, , ,13,34,1,5,1,22,1,4,1,0,1,0,1
35,2013-14,M, ,FYR,8,0,1,Political Science, , ,Social Sciences, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0, , ,13,32,1,7,1,4,18,1,1,0,1,0,0
36,2014-15,F, ,TRN, ,0,1,Psychology, , ,Social Sciences, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0, , ,8,19,2,1,0,2,14,0,1,1,1,1,0
37,2013-14,M, ,FYR,10,0,1,Psychology, , ,Social Sciences, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0, , ,14,37,2,9,2,7,16,1,1,0,1,0,0
38,2013-14,F, ,FYR,10,1,1,Media and Cultural Studies, , ,Interdisciplinary, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , ,17,40,2,6,19,4,4,5,1,0,0,0,0
39,2013-14,M, ,FYR,10,0,1,Geography, , ,Social Sciences, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0, , ,18,35,0,7,10,3,13,2,1,0,0,1,0
40,2013-14,M, ,FYR,8,0,2,Physics,Mathematics, ,Natural Sciences and Mathematics,Natural Sciences and Mathematics, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0, , ,9,36,1,6,0,25,2,2,1,0,1,0,1
41,2013-14,F, ,FYR,8,1,1,Biology, , ,Natural Sciences and Mathematics, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, , ,11,35,0,8,3,17,6,1,1,0,1,0,0
42,2013-14,F, ,FYR,10,0,1,Psychology, , ,Social Sciences, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0, , ,13,34,4,6,0,9,14,1,0,0,1,0,0
43,2013-14,F, ,FYR,8,1,2,Political Science,German Studies, ,Social Sciences,Humanities, ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0, , ,9,34,1,17,3,2,9,2,1,0,1,1,0
44,2014-15,M, ,FYR,12,0,1,Music, , ,Fine Arts, , ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , ,12,46,30,6,1,6,3,0,0,0,1,0,1
45,2013-14,M, ,FYR,8,1,1,Mathematics, , ,Natural Sciences and Mathematics, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0, , ,11,41,1,4,0,25,5,6,1,0,1,0,0
46,2014-15,M, ,FYR,12,0,1,Psychology, , ,Social Sciences, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0, , ,16,38,2,6,3,3,22,2,1,0,1,1,0
47,2013-14,F, ,FYR,8,1,1,Art, , ,Fine Arts, , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , ,13,35,17,12,1,2,2,1,0,0,1,1,1
48,2013-14,F, ,FYR,10,1,1,French, , ,Humanities, , ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Critical Theory, ,13,44,13,20,5,2,1,3,0,0,0,1,1
49,2017-18,M, ,FYR,17,0,1,Political Science, , ,Social Sciences, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0, , ,9,30,1,16,1,2,10,0,1,0,1,1,0
50,2013-14,F, ,FYR,8,0,1,English, , ,Humanities, , ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , ,14,32,3,21,3,2,3,0,1,0,1,1,1
51,2013-14,F, ,FYR,8,1,2,International Studies,Classics, ,Interdisciplinary,Humanities, ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Middle East St Islamic Civ, ,12,35,3,19,7,2,3,1,1,0,0,1,1
52,2016-17,M, ,FYR,14,1,1,International Studies, , ,Interdisciplinary, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , ,13,41,2,13,10,2,9,5,1,0,0,1,0
53,2013-14,F, ,FYR,8,0,2,Biology,Educational Studies, ,Natural Sciences and Mathematics,Interdisciplinary, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, , ,12,33,1,4,8,18,1,1,1,0,0,0,1
54,2013-14,F, ,FYR,8,0,1,Geology, , ,Natural Sciences and Mathematics, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0, , ,13,34,0,8,5,18,2,1,1,0,0,0,1
55,2014-15,F, ,FYR,10,0,2,Media and Cultural Studies,Sociology, ,Interdisciplinary,Social Sciences, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Community & Global Health, ,15,43,2,3,9,11,17,1,1,1,0,0,0
56,2013-14,F, ,FYR,8,0,2,Classics,Religious Studies, ,Humanities,Humanities, ,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , ,12,36,2,26,0,3,3,2,1,0,1,1,1
57,2013-14,M, ,FYR,8,0,2,Computer Science,Mathematics, ,Natural Sciences and Mathematics,Natural Sciences and Mathematics, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0, , ,9,32,1,2,1,25,3,0,1,1,1,0,1
58,2013-14,F, ,FYR,8,0,1,English, , ,Humanities, , ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , ,17,30,1,13,4,3,9,0,1,0,0,1,0
59,2013-14,F, ,FYR,8,1,1,Anthropology, , ,Social Sciences, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,Community & Global Health,African Studies,14,36,1,4,2,10,13,6,1,0,1,0,0
60,2013-14,M, ,FYR,8,1,1,Economics, , ,Social Sciences, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0, , ,11,30,0,8,0,5,14,3,1,0,1,0,0
61,2013-14,F, ,FYR,8,1,1,Classics, , ,Humanities, , ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , ,10,45,11,27,0,2,2,3,0,0,1,1,1
62,2015-16,M, ,FYR,12,0,1,Economics, , ,Social Sciences, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0, , ,10,36,3,5,0,9,17,2,1,0,1,0,0
63,2013-14,F, ,FYR,8,0,1,Art, , ,Fine Arts, , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , ,14,36,14,4,1,9,6,2,0,0,1,0,0
64,2013-14,F, ,FYR,8,1,1,American Studies, , ,Interdisciplinary, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , ,13,31,3,6,14,2,1,5,1,0,0,1,1
65,2013-14,F, ,FYR,8,1,2,Spanish/Portuguese (prior Hispanic Studies),Sociology, ,Humanities,Social Sciences, ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0, , ,12,36,1,11,6,2,15,1,1,0,0,1,0
66,2013-14,M, ,FYR,8,0,1,Biology, , ,Natural Sciences and Mathematics, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Community & Global Health, ,16,34,1,7,1,21,2,2,1,0,1,0,1
67,2013-14,F, ,FYR,8,1,1,Biology, , ,Natural Sciences and Mathematics, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, , ,13,32,1,7,5,15,3,1,1,0,0,0,1
68,2013-14,F, ,FYR,8,0,1,Economics, , ,Social Sciences, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0, , ,13,34,2,11,2,3,12,4,1,0,1,1,0
69,2013-14,F, ,FYR,8,1,1,Geography, , ,Social Sciences, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0, , ,10,30,1,5,3,5,13,3,1,0,1,0,0
70,2013-14,M, ,FYR,8,0,1,Music, , ,Fine Arts, , ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , ,10,54,41,4,0,3,6,0,0,0,1,1,0
71,2013-14,M, ,FYR,8,1,1,Economics, , ,Social Sciences, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0, , ,13,34,1,8,0,8,15,2,1,0,1,0,0
72,2013-14,F, ,FYR,8,1,1,Anthropology, , ,Social Sciences, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Community & Global Health, ,14,35,1,7,1,5,14,7,1,0,1,0,0
73,2013-14,M, ,FYR,8,0,2,Geology,Chemistry, ,Natural Sciences and Mathematics,Natural Sciences and Mathematics, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0, , ,11,36,1,6,0,26,3,0,1,0,1,0,1
74,2013-14,F, ,FYR,8,0,1,Biology, , ,Natural Sciences and Mathematics, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, , ,11,32,1,7,0,19,4,1,1,0,1,0,0
75,2013-14,F, ,FYR,8,0,1,Psychology, , ,Social Sciences, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0, , ,12,32,3,7,0,8,11,3,1,0,1,0,0
76,2013-14,F, ,FYR,8,0,1,Mathematics, , ,Natural Sciences and Mathematics, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0, , ,13,30,1,9,1,10,7,2,1,0,1,0,0
77,2013-14,F, ,FYR,8,0,1,Neuroscience Studies, , ,Natural Sciences and Mathematics, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0, , ,12,34,0,6,0,22,6,0,1,0,1,0,0
78,2013-14,M, ,FYR,8,0,1,History, , ,Humanities, , ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , ,13,32,3,22,0,2,4,1,1,0,1,1,0
79,2013-14,F, ,FYR,8,0,1,English, , ,Humanities, , ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , ,11,31,0,18,9,2,2,0,1,0,0,1,1
80,2013-14,F, ,FYR,8,1,1,Chemistry, , ,Natural Sciences and Mathematics, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0, , ,9,33,1,10,1,18,3,0,1,0,1,0,1
81,2013-14,F, ,FYR,8,1,1,"Women,Gender,Sexuality Studies", , ,Interdisciplinary, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , ,8,33,0,9,19,2,1,2,1,0,0,1,1
82,2013-14,M, ,FYR,8,0,1,Geology, , ,Natural Sciences and Mathematics, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0, , ,14,33,2,8,0,19,4,0,1,0,1,0,0
83,2013-14,F, ,FYR,8,1,2,Spanish/Portuguese (prior Hispanic Studies),Educational Studies, ,Humanities,Interdisciplinary, ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , ,7,35,0,16,9,6,4,0,1,0,0,0,0
84,2013-14,F, ,FYR,8,0,1,Chemistry, , ,Natural Sciences and Mathematics, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0, , ,10,50,16,9,1,19,5,0,0,0,1,0,0
85,2013-14,M, ,FYR,8,1,1,Biology, , ,Natural Sciences and Mathematics, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, , ,11,35,0,6,1,22,3,3,1,0,1,0,1
86,2013-14,F, ,FYR,8,1,1,Geology, , ,Natural Sciences and Mathematics, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0, , ,12,35,1,2,4,20,4,4,1,1,0,0,0
87,2013-14,F, ,FYR,8,1,1,Classics, , ,Humanities, , ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , ,11,32,2,23,1,2,3,1,1,0,1,1,1
88,2013-14,F, ,FYR,8,1,1,Geography, , ,Social Sciences, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Urban Studies, ,13,32,1,4,2,3,21,1,1,0,1,1,0
89,2013-14,M, ,FYR,8,1,1,Political Science, , ,Social Sciences, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Urban Studies, ,12,30,2,4,3,1,18,2,1,0,1,1,0
